hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
City Hotel,Groups,TA/TO,Transient-Party,Same week,No Deposit,265,38,50489.54,8393.4,569,90.60935849056604,3.4113207547169813,0.018867924528301886,0.12075471698113208,0.14339622641509434,190.52656603773585,8.82
City Hotel,Complementary,Corporate,Transient,Same week,No Deposit,48,7,0.0,0.0,62,0.0,1.9583333333333333,0.8125,1.6041666666666667,0.14583333333333334,0.0,8.82
Resort Hotel,Direct,Corporate,Transient,6-12 months,No Deposit,1,0,444.0,0.0,6,74.0,241.0,0.0,0.0,0.0,444.0,8.69
City Hotel,Online TA,TA/TO,Transient-Party,1-3 months,No Deposit,462,48,136604.28,16265.06,1266,106.77218614718615,61.54761904761905,0.0,0.8398268398268398,0.1038961038961039,295.6802597402597,8.63
Resort Hotel,Groups,TA/TO,Transient,6-12 months,No Deposit,29,0,7370.63,0.0,108,67.24793103448276,239.31034482758622,0.0,0.2413793103448276,0.0,254.1596551724138,8.63
Resort Hotel,Direct,Direct,Transient-Party,1-3 months,No Deposit,88,9,47329.07,9845.96,384,128.5575,59.60227272727273,0.022727272727272728,0.8863636363636364,0.10227272727272728,537.8303409090909,8.39
Resort Hotel,Offline TA/TO,TA/TO,Contract,3-6 months,No Deposit,608,31,406021.5,25000.34,5069,80.79620065789473,136.67598684210526,0.008223684210526315,0.5296052631578947,0.05098684210526316,667.7985197368421,8.26
City Hotel,Complementary,Direct,Transient,1-3 months,No Deposit,29,3,323.0,0.0,55,4.568965517241379,54.41379310344828,0.20689655172413793,1.0344827586206897,0.10344827586206896,11.137931034482758,8.17
Resort Hotel,Online TA,TA/TO,Group,1-3 months,No Deposit,10,1,1078.43,754.4,19,77.149,53.6,0.3,0.7,0.1,107.843,7.94
City Hotel,Corporate,Corporate,Transient,6-12 months,No Deposit,2,0,605.0,0.0,9,64.5,219.0,0.5,0.5,0.0,302.5,7.9
City Hotel,Offline TA/TO,TA/TO,Group,1-3 months,No Deposit,48,5,8691.76,1335.0,142,66.02854166666667,45.0,0.0,0.4375,0.10416666666666667,181.07833333333335,7.89
Resort Hotel,Groups,Corporate,Transient,1-3 months,No Deposit,9,1,1369.0,0.0,13,105.77777777777777,33.55555555555556,0.0,0.0,0.1111111111111111,152.11111111111111,7.88
City Hotel,Corporate,Corporate,Transient,1-4 weeks,No Deposit,420,50,56087.74,9938.78,663,82.01907142857144,15.90952380952381,0.4,0.41904761904761906,0.11904761904761904,133.54223809523808,7.82
City Hotel,Complementary,Direct,Transient,1-4 weeks,No Deposit,66,8,88.0,79.0,87,1.8636363636363635,14.969696969696969,0.2878787878787879,1.196969696969697,0.12121212121212122,1.3333333333333333,7.81
City Hotel,Offline TA/TO,TA/TO,Transient,1-4 weeks,No Deposit,848,96,207545.89,25631.24,2485,85.89219339622642,18.846698113207548,0.00589622641509434,0.2983490566037736,0.11320754716981132,244.74751179245285,7.75
City Hotel,Groups,Direct,Transient-Party,6-12 months,No Deposit,3,0,844.39,0.0,7,115.21,214.0,0.0,0.0,0.0,281.4633333333333,7.72
City Hotel,Groups,Direct,Transient,6-12 months,No Deposit,2,0,708.78,0.0,6,118.13,214.0,0.0,0.0,0.0,354.39,7.72
Resort Hotel,Direct,Direct,Contract,1-3 months,No Deposit,12,1,1546.0,100.0,28,54.166666666666664,75.08333333333333,0.0,1.3333333333333333,0.08333333333333333,128.83333333333334,7.71
City Hotel,Aviation,TA/TO,Transient,Same week,No Deposit,8,1,1592.0,95.0,17,91.875,3.125,0.625,0.0,0.125,199.0,7.61
City Hotel,Online TA,Direct,Transient,6-12 months,No Deposit,2,0,702.0,0.0,6,117.0,206.0,0.0,0.0,0.0,351.0,7.43
Resort Hotel,Complementary,Direct,Transient,Same week,No Deposit,66,8,452.5,0.0,91,3.9886363636363638,2.3636363636363638,0.10606060606060606,0.7727272727272727,0.12121212121212122,6.856060606060606,7.36
City Hotel,Direct,Direct,Transient,Same week,No Deposit,2109,232,413227.79,54961.06,3575,114.15191559981034,1.631578947368421,0.0602181128496918,0.4139402560455192,0.11000474158368895,195.93541488857278,7.25
City Hotel,Groups,Corporate,Transient-Party,6-12 months,No Deposit,21,0,9415.02,0.0,73,129.3652380952381,196.9047619047619,0.0,0.09523809523809523,0.0,448.3342857142857,7.1
Resort Hotel,Offline TA/TO,TA/TO,Contract,1-3 months,No Deposit,284,22,141691.21,11277.29,1910,73.9762676056338,63.83802816901409,0.0035211267605633804,0.34507042253521125,0.07746478873239436,498.91271126760563,7.07
Resort Hotel,Offline TA/TO,TA/TO,Transient-Party,6-12 months,Non Refund,1,0,265.2,0.0,4,66.3,195.0,0.0,0.0,0.0,265.2,7.03
Resort Hotel,Offline TA/TO,TA/TO,Transient,1-4 weeks,No Deposit,728,74,169127.88,23990.0,2910,56.62666208791209,18.054945054945055,0.020604395604395604,0.2802197802197802,0.10164835164835165,232.3185164835165,7.01
